idx,motif,regime,seed,g,ply,seat,mover_spec,opp_spec,tile_phase,k,margin_before,legal_n,magnitude,actual_took,final_margin_mover,result_mover,take_random,take_greedy,take_h200,take_h800,take_h3200,take_h6400,take_rod1
242,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981004,4,5,0,greedy,random,MEEPLES,70,0,4,9,0,62,W,1,0,0,0,0,0,0
241,MUST_NOT_FEED,greedy:random,1981000,0,38,1,random,greedy,TILES,53,-14,21,9,1,-71,L,1,1,1,1,1,1,1
243,MUST_PUNISH_WEAK,greedy:random,1981004,4,15,1,random,greedy,MEEPLES,65,-4,4,15,0,-62,L,0,0,1,1,1,1,1
243,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981004,4,15,1,random,greedy,MEEPLES,65,-4,4,15,0,-62,L,0,0,1,1,1,1,1
246,MUST_PUNISH_WEAK,rod1:random,1980008,8,8,0,rod1,random,TILES,68,0,9,10,1,51,W,0,1,1,1,1,1,1
244,MUST_NOT_FEED,greedy:random,1981004,4,34,1,random,greedy,TILES,55,-8,25,10,1,-62,L,1,1,1,1,1,1,1
245,MUST_NOT_FEED,greedy:random,1981004,4,62,1,random,greedy,TILES,41,-14,31,10,1,-62,L,1,1,1,1,1,1,1
250,MUST_PUNISH_WEAK,greedy:random,1981007,7,9,0,random,greedy,MEEPLES,68,-4,6,9,0,-66,L,0,0,1,1,1,1,1
250,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981007,7,9,0,random,greedy,MEEPLES,68,-4,6,9,0,-66,L,0,0,1,1,1,1,1
247,MUST_NOT_FEED,rod1:random,1980008,8,82,1,random,rod1,TILES,31,-10,17,9,1,-51,L,1,0,0,0,0,0,0
249,MUST_PUNISH_WEAK,rod1:random,1980008,8,137,0,rod1,random,MEEPLES,4,19,5,27,0,51,W,0,1,1,1,1,1,0
249,HIGH_VALUE_FARM_CLAIM_REFINED,rod1:random,1980008,8,137,0,rod1,random,MEEPLES,4,19,5,27,0,51,W,0,1,1,1,1,1,0
251,MUST_PUNISH_WEAK,greedy:random,1981007,7,15,1,greedy,random,MEEPLES,65,4,3,9,0,66,W,0,0,1,1,1,1,1
251,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981007,7,15,1,greedy,random,MEEPLES,65,4,3,9,0,66,W,0,0,1,1,1,1,1
248,MUST_NOT_FEED,rod1:random,1980008,8,94,1,random,rod1,TILES,25,-10,30,9,1,-51,L,1,1,0,0,0,0,1
253,MUST_PUNISH_WEAK,greedy:random,1981006,6,27,1,random,greedy,MEEPLES,59,-5,6,9,0,-59,L,0,0,1,1,1,1,1
253,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981006,6,27,1,random,greedy,MEEPLES,59,-5,6,9,0,-59,L,0,0,1,1,1,1,1
254,MUST_PUNISH_WEAK,greedy:random,1981006,6,29,0,greedy,random,MEEPLES,58,5,5,12,0,59,W,0,0,0,1,1,1,0
254,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981006,6,29,0,greedy,random,MEEPLES,58,5,5,12,0,59,W,0,0,0,1,1,1,0
252,MUST_NOT_FEED,greedy:random,1981007,7,96,0,random,greedy,TILES,24,-26,42,9,1,-66,L,1,1,1,1,1,1,1
257,MUST_PUNISH_WEAK,greedy:random,1981005,5,45,1,greedy,random,TILES,49,4,18,8,1,62,W,0,1,1,1,1,1,1
259,MUST_PUNISH_WEAK,greedy:random,1981009,9,42,1,greedy,random,TILES,51,4,29,10,1,58,W,0,1,1,1,1,1,1
258,MUST_PUNISH_WEAK,greedy:random,1981005,5,125,1,greedy,random,TILES,9,10,38,14,1,62,W,0,1,1,1,1,1,1
256,MUST_NOT_FEED,greedy:random,1981006,6,102,1,random,greedy,TILES,21,-21,36,11,1,-59,L,1,1,1,1,1,1,1
261,MUST_PUNISH_WEAK,greedy:random,1981010,10,44,0,greedy,random,TILES,50,0,27,14,1,64,W,0,1,1,1,1,1,1
255,MUST_NOT_FEED,greedy:random,1981006,6,94,1,random,greedy,TILES,25,-21,40,11,1,-59,L,1,1,1,1,1,1,1
264,MUST_PUNISH_WEAK,greedy:random,1981008,8,19,1,random,greedy,MEEPLES,63,0,4,9,1,-42,L,1,0,1,1,1,1,1
264,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981008,8,19,1,random,greedy,MEEPLES,63,0,4,9,1,-42,L,1,0,1,1,1,1,1
265,MUST_PUNISH_WEAK,greedy:random,1981008,8,37,0,greedy,random,MEEPLES,54,-2,3,9,0,42,W,0,0,1,1,1,1,1
265,HIGH_VALUE_FARM_CLAIM_REFINED,greedy:random,1981008,8,37,0,greedy,random,MEEPLES,54,-2,3,9,0,42,W,0,0,1,1,1,1,1
260,MUST_PUNISH_WEAK,greedy:random,1981009,9,43,1,greedy,random,MEEPLES,51,4,5,9,0,58,W,1,0,1,1,1,1,1
