[398/898] s28000000193_p94 trunc=0/10132 10.175s
[399/898] s28000000203_p15 trunc=0/10397 2.415s
[400/898] s28000000198_p82 trunc=0/9883 8.279s
[401/898] s28000000197_p105 trunc=0/9620 9.243s
[402/898] s28000000206_p16 trunc=0/10453 2.795s
[403/898] s28000000202_p50 trunc=0/10596 5.109s
[404/898] s28000000206_p25 trunc=0/10253 2.597s
[405/898] s28000000200_p108 trunc=0/9141 6.859s
[406/898] s28000000201_p105 trunc=0/9837 7.198s
[407/898] s28000000194_p131 trunc=0/9858 12.74s
[408/898] s28000000198_p101 trunc=0/10198 10.381s
[409/898] s28000000203_p96 trunc=0/9324 6.636s
[410/898] s28000000210_p12 trunc=0/10054 2.076s
[411/898] s28000000210_p15 trunc=0/8966 2.015s
[412/898] s28000000211_p9 trunc=0/9944 1.623s
[413/898] s28000000201_p108 trunc=0/10566 9.188s
[414/898] s28000000208_p41 trunc=0/9474 3.944s
[415/898] s28000000205_p90 trunc=0/9692 7.714s
[416/898] s28000000204_p112 trunc=0/8843 9.112s
[417/898] s28000000208_p84 trunc=0/9370 5.777s
[418/898] s28000000207_p95 trunc=0/10442 8.366s
[419/898] s28000000212_p58 trunc=0/9953 4.699s
[420/898] s28000000204_p123 trunc=0/9444 10.634s
[421/898] s28000000217_p142 trunc=None/None 0.0003056526184082031s
[422/898] s28000000205_p121 trunc=0/10006 9.906s
[423/898] s28000000207_p111 trunc=0/9023 8.248s
[424/898] s28000000213_p49 trunc=0/10553 5.081s
[425/898] s28000000216_p21 trunc=0/10823 2.919s
[426/898] s28000000209_p95 trunc=0/10183 8.841s
[427/898] s28000000215_p68 trunc=0/10500 5.877s
[428/898] s28000000209_p114 trunc=0/10304 11.174s
[429/898] s28000000218_p53 trunc=0/9558 5.255s
[430/898] s28000000213_p83 trunc=0/9947 9.215s
[431/898] s28000000211_p108 trunc=0/10187 10.54s
[432/898] s28000000214_p97 trunc=0/9765 9.88s
[433/898] s28000000214_p101 trunc=0/9510 9.726s
[434/898] s28000000218_p59 trunc=0/10060 6.566s
[435/898] s28000000222_p11 trunc=0/10272 1.654s
[436/898] s28000000215_p80 trunc=0/10078 9.149s
[437/898] s28000000216_p102 trunc=0/8706 8.314s
[438/898] s28000000219_p52 trunc=0/9957 7.172s
[439/898] s28000000220_p70 trunc=0/10461 6.469s
[440/898] s28000000217_p103 trunc=0/8523 8.735s
[441/898] s28000000220_p73 trunc=0/8591 6.844s
[442/898] s28000000223_p43 trunc=0/10643 3.868s
[443/898] s28000000226_p9 trunc=0/10293 1.725s
[444/898] s28000000222_p38 trunc=0/10323 4.267s
[445/898] s28000000224_p38 trunc=0/9275 3.294s
[446/898] s28000000219_p114 trunc=0/10172 8.904s
[447/898] s28000000228_p2 trunc=0/10435 1.327s
[448/898] s28000000212_p133 trunc=0/10099 16.425s
[449/898] s28000000226_p36 trunc=0/10271 4.311s
[450/898] s28000000230_p26 trunc=0/10680 2.723s
[451/898] s28000000232_p142 trunc=None/None 0.0005114078521728516s
[452/898] s28000000227_p55 trunc=0/10433 5.259s
[453/898] s28000000233_p142 trunc=None/None 0.00031256675720214844s
[454/898] s28000000228_p36 trunc=0/10302 4.401s
[455/898] s28000000230_p68 trunc=0/8619 3.67s
[456/898] s28000000227_p68 trunc=0/9988 5.389s
[457/898] s28000000221_p115 trunc=0/9214 10.925s
[458/898] s28000000223_p102 trunc=0/8671 8.208s
[459/898] s28000000225_p82 trunc=0/10344 7.843s
[460/898] s28000000229_p71 trunc=0/10337 5.945s
[461/898] s28000000224_p99 trunc=0/10766 9.291s
[462/898] s28000000229_p92 trunc=0/10059 6.729s
[463/898] s28000000236_p17 trunc=0/10457 2.364s
[464/898] s28000000225_p116 trunc=0/9613 10.505s
[465/898] s28000000237_p22 trunc=0/9982 3.028s
[466/898] s28000000221_p121 trunc=0/9937 13.644s
[467/898] s28000000239_p14 trunc=0/10356 2.044s
[468/898] s28000000241_p13 trunc=0/9619 2.071s
[469/898] s28000000234_p66 trunc=0/10557 7.189s
[470/898] s28000000231_p111 trunc=0/10089 10.856s
[471/898] s28000000235_p80 trunc=0/9967 7.245s
[472/898] s28000000232_p122 trunc=0/10624 9.079s
[473/898] s28000000236_p117 trunc=0/8680 7.152s
[474/898] s28000000233_p103 trunc=0/10064 8.903s
[475/898] s28000000239_p51 trunc=0/9798 4.449s
[476/898] s28000000235_p79 trunc=0/10394 8.356s
[477/898] s28000000238_p71 trunc=0/10448 6.823s
[478/898] s28000000240_p53 trunc=0/10242 5.526s
[479/898] s28000000237_p85 trunc=0/9139 8.532s
[480/898] s28000000231_p119 trunc=0/9719 11.956s
[481/898] s28000000238_p76 trunc=0/10509 7.935s
[482/898] s28000000244_p21 trunc=0/10580 2.894s
[483/898] s28000000240_p59 trunc=0/10623 6.241s
[484/898] s28000000234_p124 trunc=0/11008 10.946s
[485/898] s28000000249_p142 trunc=None/None 0.0004229545593261719s
[486/898] s28000000245_p27 trunc=0/9943 3.01s
[487/898] s28000000245_p28 trunc=0/10556 3.228s
[488/898] s28000000243_p43 trunc=0/10489 4.209s
[489/898] s28000000244_p70 trunc=0/11008 5.803s
[490/898] s28000000250_p23 trunc=0/9808 3.05s
[491/898] s28000000241_p87 trunc=0/10226 7.565s
[492/898] s28000000252_p1 trunc=0/10162 1.316s
[493/898] s28000000251_p38 trunc=0/7794 3.446s
[494/898] s28000000247_p50 trunc=0/10386 5.015s
[495/898] s28000000248_p66 trunc=0/9524 4.754s
[496/898] s28000000249_p62 trunc=0/9350 5.404s
[497/898] s28000000253_p9 trunc=0/10497 1.714s
[498/898] s28000000243_p136 trunc=0/10887 8.706s
[499/898] s28000000246_p95 trunc=0/10076 7.636s
