case_id,dataset,position_id,k,band,source,n_legal,gap,v27_choice,ref_choice,ref_kind,v27_q,ref_q,v27_eval,ref_eval,mechanism_raw,failure_class,candidate_patch,leaf_addressable,also_iter8_miss,raw_path
mid::hybrid_8_3200_s3503000003_K10,midgame,hybrid_8_3200_s3503000003_K10,10,pre_endgame,hybrid:8:3200,68,0.0,652,761,teacher(heur@3200),-0.89942,-0.89894,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000011_K10,midgame,hybrid_8_3200_s3503000011_K10,10,pre_endgame,hybrid:8:3200,44,0.0,1326,1532,teacher(heur@3200),0.99116,0.99143,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000015_K10,midgame,hybrid_8_3200_s3503000015_K10,10,pre_endgame,hybrid:8:3200,63,0.0,736,1169,teacher(heur@3200),0.89713,0.89866,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000016_K10,midgame,hybrid_8_3200_s3503000016_K10,10,pre_endgame,hybrid:8:3200,45,0.0,734,1278,teacher(heur@3200),-0.57285,-0.56318,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000018_K10,midgame,hybrid_8_3200_s3503000018_K10,10,pre_endgame,hybrid:8:3200,46,0.0,644,960,teacher(heur@3200),-0.58273,-0.58269,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000027_K10,midgame,hybrid_8_3200_s3503000027_K10,10,pre_endgame,hybrid:8:3200,33,0.0,1366,1374,teacher(heur@3200),-0.99986,-0.99986,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000040_K10,midgame,hybrid_8_3200_s3503000040_K10,10,pre_endgame,hybrid:8:3200,40,0.0,829,838,teacher(heur@3200),0.86872,0.86874,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
mid::hybrid_8_3200_s3503000041_K10,midgame,hybrid_8_3200_s3503000041_K10,10,pre_endgame,hybrid:8:3200,22,0.0,940,1069,teacher(heur@3200),0.91939,0.92831,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,True,
mid::iter8_s3501000018_K10,midgame,iter8_s3501000018_K10,10,pre_endgame,iter8,49,0.0,648,757,teacher(heur@3200),-0.98371,-0.98367,,,structural/closure,closure-timing/farm-growth,completion_timing_v1|farm_final_value_v1,partial,True,
mid::iter8_s3501000022_K10,midgame,iter8_s3501000022_K10,10,pre_endgame,iter8,44,0.0,645,646,teacher(heur@3200),0.81275,0.81275,,,structural/unclear,structural-positional,NONE(search-horizon),no,True,
