[agree] carcassonne_ai.fair_agent -> /home/doctor/projects/carc-pinned-c72053a/src/carcassonne_ai/fair_agent.py
[agree] carcassonne_ai.mcts       -> /home/doctor/projects/carc-pinned-c72053a/src/carcassonne_ai/mcts.py
        s28000000046_p137_r3 238.142s agreeQ_all=True [227/2694 1927/h]
        s28000000067_p132_r3 71.51s agreeQ_all=True [228/2694 1932/h]
         s28000000070_p81_r3 38.709s agreeQ_all=False [229/2694 1934/h]
        s28000000046_p137_r2 242.943s agreeQ_all=True [230/2694 1936/h]
         s28000000070_p81_r1 44.061s agreeQ_all=False [231/2694 1931/h]
        s28000000065_p143_r1 98.035s agreeQ_all=True [232/2694 1933/h]
         s28000000074_p20_r3 28.399s agreeQ_all=False [233/2694 1912/h]
         s28000000074_p20_r1 33.184s agreeQ_all=False [234/2694 1913/h]
         s28000000075_p82_r2 29.654s agreeQ_all=True [235/2694 1899/h]
         s28000000075_p82_r3 29.347s agreeQ_all=False [236/2694 1904/h]
         s28000000073_p76_r1 41.617s agreeQ_all=False [237/2694 1907/h]
         s28000000075_p82_r1 33.901s agreeQ_all=False [238/2694 1907/h]
         s28000000072_p95_r2 59.438s agreeQ_all=True [239/2694 1893/h]
         s28000000076_p52_r3 34.046s agreeQ_all=False [240/2694 1883/h]
         s28000000076_p52_r1 35.218s agreeQ_all=True [241/2694 1889/h]
        s28000000075_p101_r1 42.64s agreeQ_all=True [242/2694 1894/h]
         s28000000078_p17_r2 22.005s agreeQ_all=False [243/2694 1899/h]
         s28000000078_p17_r3 21.852s agreeQ_all=False [244/2694 1900/h]
        s28000000074_p103_r2 48.743s agreeQ_all=False [245/2694 1907/h]
        s28000000075_p101_r2 42.507s agreeQ_all=False [246/2694 1899/h]
        s28000000077_p130_r2 39.24s agreeQ_all=True [247/2694 1887/h]
        s28000000077_p110_r1 45.377s agreeQ_all=False [248/2694 1887/h]
         s28000000079_p62_r1 28.69s agreeQ_all=False [249/2694 1887/h]
         s28000000079_p62_r2 27.502s agreeQ_all=False [250/2694 1895/h]
         s28000000078_p66_r3 31.501s agreeQ_all=False [251/2694 1894/h]
        s28000000077_p110_r3 46.774s agreeQ_all=False [252/2694 1900/h]
         s28000000079_p68_r1 32.505s agreeQ_all=False [253/2694 1891/h]
         s28000000079_p68_r3 32.27s agreeQ_all=False [254/2694 1879/h]
         s28000000080_p26_r3 30.312s agreeQ_all=True [255/2694 1876/h]
         s28000000081_p55_r3 31.722s agreeQ_all=True [256/2694 1865/h]
          s28000000083_p8_r1 20.121s agreeQ_all=False [257/2694 1869/h]
         s28000000083_p94_r1 17.81s agreeQ_all=True [258/2694 1875/h]
          s28000000083_p8_r3 19.352s agreeQ_all=False [259/2694 1878/h]
         s28000000084_p11_r1 15.177s agreeQ_all=False [260/2694 1865/h]
         s28000000082_p57_r2 35.343s agreeQ_all=True [261/2694 1854/h]
         s28000000081_p80_r1 44.584s agreeQ_all=True [262/2694 1860/h]
         s28000000081_p80_r2 42.525s agreeQ_all=True [263/2694 1861/h]
         s28000000085_p30_r3 19.102s agreeQ_all=False [264/2694 1848/h]
        s28000000076_p136_r2 89.345s agreeQ_all=False [265/2694 1850/h]
        s28000000082_p114_r3 41.766s agreeQ_all=True [266/2694 1853/h]
        s28000000082_p114_r2 43.993s agreeQ_all=True [267/2694 1859/h]
         s28000000085_p30_r1 23.498s agreeQ_all=False [268/2694 1864/h]
         s28000000085_p30_r2 22.804s agreeQ_all=False [269/2694 1870/h]
         s28000000083_p94_r3 42.733s agreeQ_all=False [270/2694 1853/h]
         s28000000087_p29_r2 25.735s agreeQ_all=False [271/2694 1832/h]
         s28000000087_p29_r3 30.094s agreeQ_all=False [272/2694 1823/h]
         s28000000085_p96_r3 43.543s agreeQ_all=False [273/2694 1820/h]
        s28000000086_p107_r1 40.562s agreeQ_all=True [274/2694 1818/h]
         s28000000087_p60_r1 36.573s agreeQ_all=True [275/2694 1815/h]
         s28000000088_p76_r3 30.368s agreeQ_all=False [276/2694 1813/h]
         s28000000087_p60_r3 32.456s agreeQ_all=False [277/2694 1819/h]
        s28000000088_p102_r1 31.853s agreeQ_all=True [278/2694 1820/h]
         s28000000087_p60_r2 37.753s agreeQ_all=True [279/2694 1819/h]
         s28000000088_p76_r2 36.9s agreeQ_all=False [280/2694 1819/h]
         s28000000088_p76_r1 38.165s agreeQ_all=False [281/2694 1823/h]
         s28000000090_p52_r2 26.097s agreeQ_all=True [282/2694 1817/h]
        s28000000088_p102_r3 41.187s agreeQ_all=True [283/2694 1801/h]
         s28000000090_p52_r3 28.659s agreeQ_all=False [284/2694 1807/h]
